"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0011214","강원 원주시","만낭포금강개발직영주유소","강원 원주시 문막읍 보통로 153","20260310","SK에너지","일반","0","1850","1920","1350"
"A0010891","강원 원주시","만종주유소","강원 원주시 원문로 347 (단계동)","20260309","S-OIL","일반","0","1859","1899","1450"
"A0010891","강원 원주시","만종주유소","강원 원주시 원문로 347 (단계동)","20260310","S-OIL","일반","0","1889","1909","1450"
"A0011022","강원 원주시","명성주유소","강원 원주시 소초면 치악로 2324","20260309","GS칼텍스","일반","0","1919","1919","1550"
"A0011022","강원 원주시","명성주유소","강원 원주시 소초면 치악로 2324","20260310","GS칼텍스","일반","0","1919","1919","1550"
"A0011171","강원 원주시","문막(인천방향)주유소","강원도 원주시 문막읍 개나루길 13","20260309","알뜰(ex)","셀프","0","1772","1783","0"
"A0011171","강원 원주시","문막(인천방향)주유소","강원도 원주시 문막읍 개나루길 13","20260310","알뜰(ex)","셀프","0","1782","1793","0"
"A0011170","강원 원주시","문막(하)주유소/충전소","강원 원주시 문막읍 원문로 1234-1","20260309","알뜰(ex)","셀프","0","1779","1789","0"
"A0011170","강원 원주시","문막(하)주유소/충전소","강원 원주시 문막읍 원문로 1234-1","20260310","알뜰(ex)","셀프","0","1827","1827","0"
"A0011092","강원 원주시","문막IC주유소","강원 원주시 문막읍 원문로 1640","20260309","GS칼텍스","셀프","0","1899","1899","0"
"A0011092","강원 원주시","문막IC주유소","강원 원주시 문막읍 원문로 1640","20260310","GS칼텍스","셀프","0","1899","1999","0"
"A0011145","강원 원주시","문막농협","강원 원주시 문막읍 문막시장1길 19","20260309","NH-OIL","셀프","0","1898","1928","1350"
"A0011145","강원 원주시","문막농협","강원 원주시 문막읍 문막시장1길 19","20260310","NH-OIL","셀프","0","1918","1958","1500"
"A0033519","강원 원주시","문막농협공단클린주유소","강원 원주시 문막읍 원문로 2075","20260309","NH-OIL","셀프","0","1898","1928","1350"
"A0033519","강원 원주시","문막농협공단클린주유소","강원 원주시 문막읍 원문로 2075","20260310","NH-OIL","셀프","0","1918","1958","1500"
"A0011149","강원 원주시","문막농협부론지점주유소","강원 원주시 부론면 법천시장길 7","20260309","NH-OIL","일반","0","1898","1928","1350"
"A0011149","강원 원주시","문막농협부론지점주유소","강원 원주시 부론면 법천시장길 7","20260310","NH-OIL","일반","0","1918","1958","1500"
"A0011094","강원 원주시","반계주유소","강원 원주시 문막읍 원문로 2170","20260309","SK에너지","일반","0","1938","1998","1250"
"A0011094","강원 원주시","반계주유소","강원 원주시 문막읍 원문로 2170","20260310","SK에너지","일반","0","1958","1998","1250"
"A0010980","강원 원주시","보라매주유소","강원 원주시 소초면 북원로 3370","20260309","GS칼텍스","일반","0","1950","2029","1750"
"A0010980","강원 원주시","보라매주유소","강원 원주시 소초면 북원로 3370","20260310","GS칼텍스","일반","0","1950","1999","1750"
